Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-02 09:11:19 | WARD_B_TEMP_01 | 34.8 | CRITICAL
2026-06-02 09:11:19 | WARD_B_TEMP_02 | 34.8 | CRITICAL
2026-06-02 09:11:19 | WARD_B_TEMP_03 | 36.7 | NORMAL
2026-06-02 09:11:19 | WARD_B_TEMP_04 | 38.2 | CRITICAL
2026-06-02 09:11:19 | WARD_B_TEMP_05 | 40.4 | CRITICAL
2026-06-02 09:11:20 | WARD_B_TEMP_01 | 39.7 | CRITICAL
2026-06-02 09:11:20 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-06-02 09:11:20 | WARD_B_TEMP_03 | 39.3 | CRITICAL
2026-06-02 09:11:20 | WARD_B_TEMP_04 | 39.4 | CRITICAL
2026-06-02 09:11:20 | WARD_B_TEMP_05 | 35.0 | CRITICAL
2026-06-02 09:11:21 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-06-02 09:11:21 | WARD_B_TEMP_02 | 39.1 | CRITICAL
2026-06-02 09:11:21 | WARD_B_TEMP_03 | 38.7 | CRITICAL
2026-06-02 09:11:21 | WARD_B_TEMP_04 | 35.9 | NORMAL
2026-06-02 09:11:21 | WARD_B_TEMP_05 | 35.2 | CRITICAL
2026-06-02 09:11:22 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-06-02 09:11:22 | WARD_B_TEMP_02 | 38.6 | CRITICAL
2026-06-02 09:11:22 | WARD_B_TEMP_03 | 37.6 | WARNING
2026-06-02 09:11:22 | WARD_B_TEMP_04 | 37.0 | NORMAL
2026-06-02 09:11:22 | WARD_B_TEMP_05 | 37.7 | WARNING
2026-06-02 09:11:23 | WARD_B_TEMP_01 | 35.6 | NORMAL
2026-06-02 09:11:23 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-06-02 09:11:23 | WARD_B_TEMP_03 | 38.1 | CRITICAL
2026-06-02 09:11:23 | WARD_B_TEMP_04 | 36.6 | NORMAL
2026-06-02 09:11:23 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-02 09:11:24 | WARD_B_TEMP_01 | 37.8 | WARNING
2026-06-02 09:11:24 | WARD_B_TEMP_02 | 40.5 | CRITICAL
2026-06-02 09:11:24 | WARD_B_TEMP_03 | 34.8 | CRITICAL
2026-06-02 09:11:24 | WARD_B_TEMP_04 | 35.4 | CRITICAL
2026-06-02 09:11:24 | WARD_B_TEMP_05 | 38.4 | CRITICAL
2026-06-02 09:11:25 | WARD_B_TEMP_01 | 35.8 | NORMAL
2026-06-02 09:11:25 | WARD_B_TEMP_02 | 35.0 | CRITICAL
2026-06-02 09:11:25 | WARD_B_TEMP_03 | 35.2 | CRITICAL
2026-06-02 09:11:25 | WARD_B_TEMP_04 | 35.3 | CRITICAL
2026-06-02 09:11:25 | WARD_B_TEMP_05 | 36.4 | NORMAL
2026-06-02 09:11:26 | WARD_B_TEMP_01 | 37.1 | NORMAL
2026-06-02 09:11:26 | WARD_B_TEMP_02 | 37.1 | NORMAL
2026-06-02 09:11:26 | WARD_B_TEMP_03 | 37.0 | NORMAL
2026-06-02 09:11:26 | WARD_B_TEMP_04 | 39.1 | CRITICAL
2026-06-02 09:11:26 | WARD_B_TEMP_05 | 36.5 | NORMAL
2026-06-02 09:11:27 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-02 09:11:27 | WARD_B_TEMP_02 | 36.2 | NORMAL
2026-06-02 09:11:27 | WARD_B_TEMP_03 | 38.1 | CRITICAL
2026-06-02 09:11:27 | WARD_B_TEMP_04 | 37.3 | NORMAL
2026-06-02 09:11:27 | WARD_B_TEMP_05 | 37.3 | NORMAL
