Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-02 09:11:12 | WARD_A_HR_05 | 132 | CRITICAL
2026-06-02 09:11:13 | WARD_A_HR_01 | 59 | CRITICAL
2026-06-02 09:11:13 | WARD_A_HR_02 | 96 | WARNING
2026-06-02 09:11:13 | WARD_A_HR_03 | 139 | CRITICAL
2026-06-02 09:11:13 | WARD_A_HR_04 | 134 | CRITICAL
2026-06-02 09:11:13 | WARD_A_HR_05 | 125 | CRITICAL
2026-06-02 09:11:14 | WARD_A_HR_01 | 114 | CRITICAL
2026-06-02 09:11:14 | WARD_A_HR_02 | 60 | NORMAL
2026-06-02 09:11:14 | WARD_A_HR_03 | 59 | CRITICAL
2026-06-02 09:11:14 | WARD_A_HR_04 | 98 | WARNING
2026-06-02 09:11:14 | WARD_A_HR_05 | 98 | WARNING
2026-06-02 09:11:15 | WARD_A_HR_01 | 86 | NORMAL
2026-06-02 09:11:15 | WARD_A_HR_02 | 90 | WARNING
2026-06-02 09:11:15 | WARD_A_HR_03 | 119 | CRITICAL
2026-06-02 09:11:15 | WARD_A_HR_04 | 120 | CRITICAL
2026-06-02 09:11:15 | WARD_A_HR_05 | 75 | NORMAL
2026-06-02 09:11:16 | WARD_A_HR_01 | 71 | NORMAL
2026-06-02 09:11:16 | WARD_A_HR_02 | 107 | CRITICAL
2026-06-02 09:11:16 | WARD_A_HR_03 | 49 | CRITICAL
2026-06-02 09:11:16 | WARD_A_HR_04 | 75 | NORMAL
2026-06-02 09:11:16 | WARD_A_HR_05 | 146 | CRITICAL
2026-06-02 09:11:17 | WARD_A_HR_01 | 76 | NORMAL
2026-06-02 09:11:17 | WARD_A_HR_02 | 89 | NORMAL
2026-06-02 09:11:17 | WARD_A_HR_03 | 87 | NORMAL
2026-06-02 09:11:17 | WARD_A_HR_04 | 69 | NORMAL
2026-06-02 09:11:17 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-02 09:11:18 | WARD_A_HR_01 | 116 | CRITICAL
2026-06-02 09:11:18 | WARD_A_HR_02 | 89 | NORMAL
2026-06-02 09:11:18 | WARD_A_HR_03 | 64 | NORMAL
2026-06-02 09:11:18 | WARD_A_HR_04 | 140 | CRITICAL
2026-06-02 09:11:18 | WARD_A_HR_05 | 120 | CRITICAL
2026-06-02 09:11:19 | WARD_A_HR_01 | 126 | CRITICAL
2026-06-02 09:11:19 | WARD_A_HR_02 | 46 | CRITICAL
2026-06-02 09:11:19 | WARD_A_HR_03 | 67 | NORMAL
2026-06-02 09:11:19 | WARD_A_HR_04 | 117 | CRITICAL
2026-06-02 09:11:19 | WARD_A_HR_05 | 142 | CRITICAL
2026-06-02 09:11:20 | WARD_A_HR_01 | 124 | CRITICAL
2026-06-02 09:11:20 | WARD_A_HR_02 | 109 | CRITICAL
2026-06-02 09:11:20 | WARD_A_HR_03 | 47 | CRITICAL
2026-06-02 09:11:20 | WARD_A_HR_04 | 94 | WARNING
2026-06-02 09:11:20 | WARD_A_HR_05 | 86 | NORMAL
2026-06-02 09:11:21 | WARD_A_HR_01 | 86 | NORMAL
2026-06-02 09:11:21 | WARD_A_HR_02 | 144 | CRITICAL
2026-06-02 09:11:21 | WARD_A_HR_03 | 59 | CRITICAL
2026-06-02 09:11:21 | WARD_A_HR_04 | 47 | CRITICAL
2026-06-02 09:11:21 | WARD_A_HR_05 | 125 | CRITICAL
2026-06-02 09:11:22 | WARD_A_HR_01 | 118 | CRITICAL
2026-06-02 09:11:22 | WARD_A_HR_02 | 47 | CRITICAL
2026-06-02 09:11:22 | WARD_A_HR_03 | 119 | CRITICAL
2026-06-02 09:11:22 | WARD_A_HR_04 | 116 | CRITICAL
2026-06-02 09:11:22 | WARD_A_HR_05 | 87 | NORMAL
2026-06-02 09:11:23 | WARD_A_HR_01 | 135 | CRITICAL
2026-06-02 09:11:23 | WARD_A_HR_02 | 117 | CRITICAL
2026-06-02 09:11:23 | WARD_A_HR_03 | 92 | WARNING
2026-06-02 09:11:23 | WARD_A_HR_04 | 106 | CRITICAL
2026-06-02 09:11:23 | WARD_A_HR_05 | 58 | CRITICAL
2026-06-02 09:11:24 | WARD_A_HR_01 | 123 | CRITICAL
2026-06-02 09:11:24 | WARD_A_HR_02 | 66 | NORMAL
2026-06-02 09:11:24 | WARD_A_HR_03 | 141 | CRITICAL
2026-06-02 09:11:24 | WARD_A_HR_04 | 102 | CRITICAL
2026-06-02 09:11:24 | WARD_A_HR_05 | 69 | NORMAL
2026-06-02 09:11:25 | WARD_A_HR_01 | 119 | CRITICAL
2026-06-02 09:11:25 | WARD_A_HR_02 | 143 | CRITICAL
2026-06-02 09:11:25 | WARD_A_HR_03 | 67 | NORMAL
2026-06-02 09:11:25 | WARD_A_HR_04 | 45 | CRITICAL
2026-06-02 09:11:25 | WARD_A_HR_05 | 48 | CRITICAL
2026-06-02 09:11:26 | WARD_A_HR_01 | 134 | CRITICAL
2026-06-02 09:11:26 | WARD_A_HR_02 | 77 | NORMAL
2026-06-02 09:11:26 | WARD_A_HR_03 | 54 | CRITICAL
2026-06-02 09:11:26 | WARD_A_HR_04 | 64 | NORMAL
2026-06-02 09:11:26 | WARD_A_HR_05 | 79 | NORMAL
2026-06-02 09:11:27 | WARD_A_HR_01 | 101 | CRITICAL
2026-06-02 09:11:27 | WARD_A_HR_02 | 103 | CRITICAL
2026-06-02 09:11:27 | WARD_A_HR_03 | 125 | CRITICAL
2026-06-02 09:11:27 | WARD_A_HR_04 | 47 | CRITICAL
2026-06-02 09:11:27 | WARD_A_HR_05 | 64 | NORMAL
